title,text,subject,date
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,12-11-2009
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,28-09-2006
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,06-10-2005
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,11-01-2022
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,13-02-2002
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,22-07-2021
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,23-06-2020
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,31-12-2024
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,05-05-2009
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,25-03-2020
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,30-07-2019
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,07-04-2013
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,01-08-2022
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,10-01-2013
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,10-11-2022
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,17-03-2014
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,07-07-2006
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,01-01-2017
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,27-03-2015
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,13-05-2024
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,25-12-2015
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,12-10-2010
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,31-03-2003
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,18-12-2021
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,09-08-2008
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,17-10-2003
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,15-04-2000
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,20-09-2005
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,30-05-2004
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,30-04-2004
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,15-03-2001
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,09-08-2012
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,06-08-2005
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,24-10-2008
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,05-01-2000
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,11-12-2009
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,02-05-2022
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,04-01-2024
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,26-02-2016
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,29-12-2013
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,24-10-2019
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,07-07-2005
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,02-07-2012
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,18-04-2019
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,16-12-2004
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,06-03-2020
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,19-12-2003
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,25-06-2009
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,21-09-2018
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,25-09-2020
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,15-11-2023
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,02-09-2012
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,16-10-2023
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,19-01-2002
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,21-05-2005
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,29-11-2001
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,06-06-2007
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,30-07-2015
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,02-07-2010
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,12-06-2020
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,12-08-2021
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,06-07-2007
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,16-01-2021
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,17-11-2011
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,14-02-2000
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,10-08-2018
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,30-07-2023
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,19-03-2008
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,18-05-2017
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,01-03-2009
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,17-08-2012
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,27-04-2023
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,20-01-2024
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,18-02-2022
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,26-01-2013
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,12-08-2014
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,26-04-2024
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,22-12-2002
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,28-11-2006
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,04-08-2009
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,29-05-2009
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,03-04-2004
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,02-05-2023
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,19-06-2002
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,29-11-2004
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,05-09-2004
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,07-03-2016
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,24-12-2013
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,02-10-2008
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,27-12-2005
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,03-05-2010
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,26-12-2014
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,12-02-2023
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,23-12-2012
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,15-08-2013
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,01-07-2022
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,26-02-2017
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,26-03-2014
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,29-01-2023
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,03-09-2005
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,15-02-2018
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,29-03-2010
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,04-08-2019
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,06-03-2024
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,27-12-2015
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,16-01-2009
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,22-08-2005
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,22-12-2006
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,12-01-2016
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,29-09-2016
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,24-11-2008
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,22-09-2022
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,16-03-2006
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,03-06-2003
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,29-12-2017
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,10-01-2011
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,21-11-2017
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,31-08-2010
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,09-02-2018
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,05-01-2017
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,04-05-2014
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,27-04-2004
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,26-06-2007
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,11-03-2018
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,31-05-2005
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,29-10-2016
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,03-10-2023
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,25-09-2009
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,18-09-2018
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,04-06-2018
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,19-02-2006
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,27-06-2023
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,29-04-2006
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,21-04-2018
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,03-10-2002
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,16-01-2008
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,26-03-2022
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,31-07-2001
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,09-02-2006
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,12-11-2003
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,17-10-2001
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,31-10-2002
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,13-11-2021
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,25-05-2010
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,01-02-2003
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,23-07-2024
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,09-08-2024
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,13-02-2006
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,14-09-2020
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,07-06-2011
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,13-07-2010
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,17-01-2012
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,20-09-2010
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,27-03-2017
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,14-03-2007
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,04-08-2013
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,27-02-2022
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,22-08-2001
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,13-08-2022
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,08-08-2002
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,11-02-2006
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,23-05-2024
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,29-08-2010
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,19-10-2022
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,10-06-2000
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,03-08-2021
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,05-08-2014
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,09-04-2014
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,06-04-2017
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,16-06-2004
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,06-05-2007
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,08-01-2010
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,15-06-2010
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,02-04-2004
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,13-01-2004
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,28-07-2016
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,03-09-2000
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,02-04-2007
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,18-08-2018
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,02-01-2001
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,13-12-2018
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,02-07-2014
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,01-03-2006
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,17-10-2001
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,28-08-2001
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,15-02-2008
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,27-12-2011
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,19-10-2008
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,25-02-2017
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,16-07-2009
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,24-07-2007
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,29-12-2014
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,05-02-2000
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,07-12-2007
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,26-08-2009
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,03-03-2002
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,17-01-2013
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,12-11-2009
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,21-05-2002
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,28-05-2022
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,05-07-2024
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,08-11-2006
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,05-06-2020
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,18-02-2005
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,20-08-2013
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,28-06-2012
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,06-07-2024
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,02-05-2013
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,09-07-2011
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,01-01-2014
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,02-02-2016
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,29-10-2017
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,12-05-2022
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,25-04-2022
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,03-04-2004
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,17-06-2003
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,28-12-2024
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,04-07-2017
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,16-01-2001
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,08-07-2008
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,11-07-2023
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,26-10-2023
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,12-03-2008
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,08-01-2008
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,31-03-2017
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,17-05-2016
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,16-11-2006
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,17-02-2002
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,24-11-2014
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,15-01-2001
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,17-09-2012
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,13-06-2009
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,20-08-2017
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,18-05-2014
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,31-08-2010
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,15-03-2000
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,06-12-2014
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,25-03-2024
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,02-01-2010
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,06-09-2019
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,31-03-2018
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,19-09-2021
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,10-08-2003
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,26-08-2007
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,04-04-2022
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,29-05-2013
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,18-08-2022
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,07-07-2017
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,18-12-2007
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,09-01-2024
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,17-03-2001
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,17-05-2020
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,04-07-2017
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,28-10-2006
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,21-07-2001
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,07-03-2018
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,27-03-2002
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,07-01-2010
